user_id,credibility
5455,66993
5500,2873
5510,10641
5511,54554
5522,4790
5533,246
5547,11
5548,231
5552,7
5608,47376
5637,4643
5645,10237
5681,50672
5683,8415
5703,739
5705,1844
5717,37244
5720,65846
5729,1866
5736,13463
5753,7326
5771,82433
5798,21243
5817,6152
5825,3580
5846,16197
5851,7254
5856,22686
5861,217727
5862,63766
5894,140130
5904,39538
5941,2192
5961,7164
6001,9567
6004,26868
6019,25113
6095,24962
6103,21390
6113,15966
6120,27028
6121,1939
6153,60736
6169,50075
6173,6532
6175,20516
6183,9416
6197,4540
6222,334
6244,21811
6264,57258
6273,94952
6280,11985
6283,8391
6284,524645
6286,55656
6296,2847
6307,3503
6311,8587
6317,1125
6324,2194
6329,182
6340,54
6348,445
6350,46371
6379,9620
6391,12626
6404,85679
6435,21168
6438,4006
6446,435
6458,11236
6468,64527
6496,52611
6511,173825
6516,5967
6523,45412
6527,9857
6549,101376
6561,147871
6575,2423
6578,14433
6589,124
6593,27367
6606,9691
6607,3420
6627,5204
6645,3390
6649,522
6652,7051
6661,69977
6669,1680
6672,518
6707,57226
6710,1709
6716,118476
6755,3543
6781,74588
6798,11122
6808,6241
6815,14590
6817,108058
6827,349273
6844,5080
6852,31085
6859,5839
6869,473
6878,58747
6949,8842
6968,8076
6972,18182
6974,2517
6995,54330
7021,415
7022,10842
7038,4343
7041,17430
7064,3947
7068,40184
7095,84778
7104,128099
7110,25931
7126,399
7129,28553
7177,458
7204,5081
7205,1964
7219,314
7221,1900
7249,12325
7250,24093
7252,7630
7254,7680
7258,7155
7278,3729
7279,134553
7294,4173
7301,54268
7320,134798
7323,7043
7357,11839
7361,23190
7366,14976
7377,6482
7395,17571
7402,217535
7410,89657
7414,19685
7419,6107
7435,3188
7457,78913
7465,13122
7486,4561
7488,4410
7490,13583
7495,117011
7496,16576
7498,1253
7508,1412
7509,2021
7513,70268
7516,36605
7520,4897
7534,37332
7540,282782
7543,23947
7578,8412
7580,935581
7586,11382
7593,7738
7643,56522
7686,9337
7694,1643
7730,6447
7745,61160
7757,1291
7761,7322
7777,134916
7798,4346
7840,728
7858,62691
7859,2172
7862,78473
7872,54810
7891,78364
7897,22560
7930,9855
7990,6583
8004,1687
8029,199140
8072,32555
8085,6428
8129,156
8130,513
8155,20471
8184,374
8190,12414
8201,74197
8209,9527
8246,3801
8247,23051
8250,1118
8257,92907
8261,1904
8268,4754
8272,34233
8289,138578
8291,2781
8316,63537
8351,93626
8352,21969
8359,11706
8429,4327
8471,13789
8472,199
8484,9894
8494,23652
8519,236
8531,32894
8534,11548
8545,2278
8551,265122
8624,75458
8625,23834
8656,6856
8690,3148
8701,358
8725,4622
8773,47231
8780,225601
8803,2337
8814,17960
8817,35922
8833,12155
8834,76849
8838,13360
