Article_id,credibility_withoutInline_withMeanTime
860,28391430
862,1547152855246867
863,29722677936957440
863,29722677936957440
864,9523880936743138
865,31300858827533
866,7519580787704
868,2597639069206
869,4421819978884
870,2855783130300
872,79590927453954
872,79590927453954
873,24015523
874,26340758970452896
875,1656429719
876,44308496035826
877,924418621971
878,4706099928009
880,7796212609899358
881,9658630619326
882,11789514236
883,175985804
884,188050156910
885,28888127
886,285238392348242
887,794868338434923
888,11237610568590
889,558958775398
890,36639472802207
891,17140
892,5189688071
893,2093542506717189120
894,57515188144659
895,82191887359974
896,9993311442369
897,54291182523864
897,54291182523864
898,26809864174988
899,601547668688
899,601547668688
900,2714987599566
901,189030535650
902,642513289995410
902,642513289995410
903,566898191894
904,1202393001570271
905,715564076
906,6092615245157
909,152782752410407
910,1607891705
911,131258313724
912,14791653
913,53140781949203
913,53140781949203
914,258439396314
915,234267724741
917,1335119546
918,303598772
920,66494895552
921,399909729771
922,41315801582604
923,125464
924,10236333628323
925,31585672295
926,36921
927,321445873034703
928,94445629712938
929,50317322852
930,1030722557670
931,522013546831305
932,2533602341
933,8833240591
944,3373427373
948,543767192
951,10440059440561646
952,2439280210611
953,4653662312
954,234451573403190
954,234451573403190
955,11847192831
956,5566903151117
957,41995012296
958,240106413044
959,1220876487
960,376486460660
963,9563349445445
964,1495813
965,3176131498
966,962483124
967,2118876535
968,5120264875
969,228390236872
972,1533111753179
974,6375991755149
975,11332541238108
978,2123311936024
980,28450604918476
981,350307140098552
982,2711704205
983,393229274080922
984,288921944031806
985,300158789
986,16095311497009082
988,114112981923
989,1455993367181164
991,18750856087289
992,6084730341294
993,107175355544
993,107175355544
994,888410362
999,225977229323943
1000,958917448266547
1000,958917448266547
1002,36517608711146
1003,406677871720
1004,3577196551584
1005,1705659975861
1006,161047976462994
1007,43071573843500
1008,22601714585792
1009,23185210144161
1010,41708619038863
1011,31888667195473
1012,45945188199645
1013,31463813266047
1014,18023509466883648
1016,4415852574962
1017,3741318214348170
1018,72731403364
1019,377966672254458
1020,122530361469958
1021,11764576085
1022,1215581932340727
1023,6762365981924911
1027,29947329691458
1028,2690371149974
1029,228910717482544
1030,65854593204598
1032,1002055841801
1033,24065852728230
1034,44446641471681
1035,2684465937
1036,1099949224788
1038,65234406910939
1043,241556774
1044,5111850703345
1046,103912102745
1047,2655660154810
1049,12747978580
1050,27430814020214
1050,27430814020214
1051,20338864873634
1051,20338864873634
1052,126400110192222
1053,380762027
1055,1194980964592
1057,358218299979
1057,358218299979
1058,4153547248581
1059,196167038
1063,365623208776
1064,27569055667878
1070,272866238064
1071,404953498015
1077,3206012594
1078,47270679247434232
1087,67122972765
1099,13206866146
1100,14003419303
1101,3963766446009
1109,18954319586
1110,2764048240
1111,45751193208
1112,72414811548
1113,202429379
1114,65993717
1117,10426196477407
1120,424125285591
1121,479807849
1122,1276014951
1125,91506255550
1126,70344314956
1127,21957463769
1129,15676323656764
1130,3514622161892587
1132,1358254014464204
1133,38456879074365
1134,791332995130
1135,10034046093383
1136,89735574
1140,17253887503177
1141,235250360033
1142,589149693921
1143,285878826385259
1144,22276649943
1146,2928178708861
1147,17132295803
1148,1147030365106392
1152,173383592743
1152,173383592743
1153,519903964
1153,519903964
1154,18627015487279
1155,3946180230
1158,687244856524
1159,274185964137400
1160,807613009825
1162,6261802940272464
1164,1152534990789036
1166,31218082233
1167,674337510303
1168,261581663128095
1169,6191785424
1170,258309520815159
1171,82346334951651
1173,2613726572328
1174,379090353380081
1175,52077177877420
1175,52077177877420
1175,52077177877420
1176,4815031934
1177,3311346834345691
1178,282989213365764
1181,739729794582
1182,453089718467756
1183,13698215233958
1183,13698215233958
1184,71651314
1187,116748545293
1189,832635163570
1190,208613359124
1191,4989307058
1192,8508512755
1193,88195846454
1194,478692195
1196,31162219449791
1197,6980330428
1198,2507891494837
1199,166801421
1200,430458668177
1201,1621432063764150
1202,29262799136
1203,3971216039629102
1204,152750470969
1205,31538
1206,673390197584240
1207,126656034308278
1208,379257803464087
1209,375482001805
1210,1622093475550
1212,876835972394
1213,263205392962
1214,10192905618117928
1215,51510415
1216,4447522065542045
1217,4831376403578
1225,12444745893
1227,274314213631
1234,1877941631
1235,722195537285
1237,48391364937909
1239,898221867712336
1240,34393859289492
1241,82154168061149
1242,35908409333341
1245,1072699472
1246,13248035062
1246,13248035062
1247,568688246874
1252,255465331160069
1254,49692696136816
1255,2063
1256,7651026524521
1257,453403099969
1259,17339679102108
1260,36383716318847
1261,22110225912686
1262,457058774
1264,327205868872
1265,1506163797
1267,112099346644
1268,67037
1270,22746929505
1271,3971429871770
1273,13300511002875844
1274,428396957820
1275,30255125256
1276,1537653398
1277,808339563396
1278,1012813793
1279,153070811913
1280,22764196
1282,715306
1285,6999764649557
1286,30992194617528
1288,6437883928496670
1289,2529273795398
1289,2529273795398
1291,13399712052812
1292,507395949856
1293,88396342765
1295,85802550
1298,2804146762038
1300,21857706950014
1301,31557218962
1302,4441684082843
1303,967081953906
1304,6082806074
1305,1506606276
1305,1506606276
1306,455384454786780
1307,24853269738390
1309,2852602842
1311,63685667454
1312,946346583
1313,802081056245
1314,10683
1315,6670129967032794
1316,178247043492
1317,120567485540396
1318,1586982463
1320,96083748
1322,15507008799
1324,568669954207
1325,43765880272
1327,41738975068587
1327,41738975068587
1328,155233
1328,155233
1330,3048813647
1331,30849812068
1332,18350109731840
1333,39050756037799
1334,31300388166672
1335,698913306321
1336,386681014741
1337,11351
1338,29227352009494
1344,95853158573
1346,2290395542702
1347,2751391711152483
1348,1104836814075390
1349,3894362058747
1350,37701720
1352,1464023930
1353,10241497486
1353,10241497486
1354,156531919070427
1355,1047904818
1356,5315594647
1356,5315594647
1357,478324517188
1358,556258072637801
1359,2173985655
1360,30424152073
1361,63794685049480
1362,2710440706
1363,593517127222
1364,3050682977083
1365,1338921552269062
1366,6346857598730
1367,127120787407310
1368,276722107455842
1369,222959225859
1370,100205329289249
1371,17624911997
1372,164021028508509
1373,14362696664
1374,101041039731
1375,175093627332259
1376,2602238227260
1377,1875937983
1379,645046428431
1380,525186552170
1381,17648765793373
1382,1294849667
1383,1037632267613
1384,2926487183712
1386,83915011529
1387,6238843709842
1388,39796378343913
1389,1048489334374
1391,87059380
1392,9256445598
1393,1998519914978
1394,3137454571881
1394,3137454571881
1395,17817139189396
1395,17817139189396
1397,111367595575350864
1398,140088203739430
1399,166726
1400,230060981937650
1404,1473110047
1406,48865681
1408,15752311697094
1409,104453415365
1412,16608926930304
1415,151837245
1416,21020359835511
1417,119098306125121
1418,17909007280486
1419,3280298364563
1420,157361068
1422,1431155110567
1423,653578309108064
1425,709859788210092
1428,200020280095
1432,154200728267
1433,251373888720
1433,251373888720
1434,5170092630
1435,112658047946
1435,112658047946
1436,3671209849275853
1437,2606670053934
1438,1014441933670
1439,149475035
1440,22865306865880
1441,6482527457
1442,60037767218317
1444,40513810757
1445,175474928848141
1446,24340370699908
1447,2057167032012
1448,44782756422510
1449,4883751330058
1451,329988107833244
1453,16444979478840
1453,16444979478840
1456,19715037691807
1458,1206973109177856
1460,5008416737854
1461,930358684681455
1462,35775456985
1465,168276
1466,4668346776100
1478,9482153636373
1478,9482153636373
1482,6796029086
1484,44682966469
1485,113844524985
1486,126934909332584
1487,134291223275
1488,274447174872
1490,21596274105136
1491,48532279566001
1491,48532279566001
1493,22256692939377
1494,4912698158868589
1495,343613614809142
1496,23795803325352
1497,37524586873740
1498,18526907286840
1498,18526907286840
1499,19552782436789
1500,5688902124
1501,65833940
1502,91530082
1502,91530082
1503,13083676
1504,70650578899
1505,109923894
1506,36423831
1507,11121110
1508,133442839012
1508,133442839012
1509,696753370920
1511,180713411900
1512,6633519484
1513,204336898703
1514,6086933557389
1515,13053339421
1516,662551103
1516,662551103
1517,1800817521
1519,17972321639540
1520,27369882529389
1522,303620080
1523,3993581813400
1525,1346238746332070
1526,55424003193
1527,20532364554
1528,1397676501
1529,329698567921
1530,61562774330061
1531,85293208689
1535,10469750438
1536,23046525062
1537,12709258580932456
1538,6761445789
1539,1217657631085
1540,23722909511863
