Article_id,credibility_withoutUser_Count
927,321445872892562
928,94445629718132
929,50317315274
930,1030722560006
931,522013546872369
932,2533603435
933,8833232959
944,3373402661
948,543765623
951,10440059445277392
952,2439280215521
953,4653661713
954,234451573384416
954,234451573561296
955,11847195963
956,5566905685443
957,41995033246
958,240106412457
959,1220873625
960,376486467685
963,9563349461789
964,1493320
965,3176129844
966,962481376
967,2118875105
968,5120261236
969,228390236224
972,1533111753753
974,6375991701094
975,11332541236612
978,2123311936470
980,28450604925121
981,350307140075488
982,2711701800
983,393229273996767
984,288921944158250
985,300155650
986,16095311497002046
988,114112981648
989,1455993367087557
991,18750856080006
992,6084730340688
993,107175347765
993,107175760309
994,888409615
999,225977229275608
1000,958917448275560
1000,958917448220912
1002,36517608940897
1003,406677875130
1004,3577196492708
1005,1705659951815
1006,161047976418561
1007,43071574180695
1008,22601714802650
1009,23185210390159
1010,41708619346563
1011,31888667446842
1012,45945188574124
1013,31463813515690
1014,18023509466631360
1016,4415852575315
1017,3741318214615847
1018,72731402434
1019,377966672621906
1020,122530361468731
1021,11764574022
1022,1215581932299016
1023,6762365981929775
1027,29947329907014
1028,2690371131378
1029,228910717464382
1030,65854593253757
1032,1002055837099
1033,24065852741953
1034,44446641463296
1035,2684464203
1036,1099949227499
1038,65234406935778
1043,241555320
1044,5111850704108
1046,103912105541
1047,2655660140530
1049,12747974302
1050,27430813998852
1050,27430813970148
1051,20338864880318
1051,20338864869933
1052,126400110234980
1053,380757425
1055,1194980962125
1057,358218290241
1057,358218347841
1058,4153547248173
1059,196165208
1063,365623207352
1064,27569055659002
1070,272866237972
1071,404953497924
1077,3206011171
1078,47270679247136464
1087,67122964597
1099,13206836322
1100,14003408960
1101,3963766432730
1109,18954318354
1110,2764047234
1111,45751194387
1112,72414811156
1113,202428078
1114,65991851
1117,10426196490847
1120,424125260010
1121,479785220
1122,1275990037
1125,91506250484
1126,70344300641
1127,21957462516
1129,15676323888413
1130,3514622162274941
1132,1358254014456973
1133,38456879030444
1134,791332992425
1135,10034046099096
1136,89732597
1140,17253887501518
1141,235250358445
1142,589149694958
1143,285878826408113
1144,22276649123
1146,2928178690859
1147,17132295419
1148,1147030365145343
1152,173383592650
1152,173383591571
1153,519885610
1153,519919457
1154,18627015741530
1155,3946179020
1158,687244853109
1159,274185964188857
1160,807613014439
1162,6261802940314020
1164,1152534990908989
1166,31218084214
1167,674337540922
1168,261581663162744
1169,6191783729
1170,258309520756392
1171,82346334925231
1173,2613726570863
1174,379090353242038
1175,52077178210845
1175,52077177699357
1175,52077177740020
1176,4815031017
1177,3311346834256242
1178,282989213349751
1181,739729798648
1182,453089718369370
1183,13698215236196
1183,13698215236724
1184,71639312
1187,116748515739
1189,832635163008
1190,208613354836
1191,4989303306
1192,8508511804
1193,88195846171
1194,478691125
1196,31162219427340
1197,6980328551
1198,2507891491079
1199,166797421
1200,430458668960
1201,1621432063769214
1202,29262794829
1203,3971216039854351
1204,152750468240
1205,17
1206,673390197594794
1207,126656034313626
1208,379257803305078
1209,375481959287
1210,1622093458845
1212,876835932766
1213,263205394282
1214,10192905618400288
1215,51508979
1216,4447522065464080
1217,4831376370414
1225,12444741145
1227,274314209298
1234,1877940088
1235,722195544764
1237,48391364979053
1239,898221867803423
1240,34393859245085
1241,82154168001838
1242,35908409351277
1245,1072693729
1246,13248033504
1246,13248538541
1247,568688244349
1252,255465331174636
1254,49692696527704
1255,1937
1256,7651026525715
1257,453403099732
1259,17339679342304
1260,36383716305977
1261,22110226159308
1262,457056387
